ProductName,Seller,UsageType,Region,CostUSD
GCP Fastly for GCP Marketplace,fastly-public-46a6,D27A-A4CF-6B01:Fastlypublic46a6,(not set),230604.04
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,us-central1,64513.1197819999
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,us-west4,62623.5502179999
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-east4,53447.39834400002
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-west2,50071.497941000016
"GCP NetApp, Inc. Cloud Manager for Cloud Volumes ONTAP",netapp-cloudmanager,3DB9-5B25-7E2D:Netappcloudmanager,(not set),37235.4623781306
"GCP NetApp, Inc. Cloud Manager for Cloud Volumes ONTAP",netapp-cloudmanager,0B7C-DFF0-FEB4:Netappcloudmanager,ha pair,34583.51082937767
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,009E-7D88-7AE8:41748,us-central1,24957.26662800001
GCP Matillion ETL for BigQuery - Extra Large,matillion-etl-for-bq-public,D4E5-9C65-9856:Matillionetlforbqpublic,us-east1,19117.822320000003
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,us-central1,15192.81059895217
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,europe-west3,14447.402226477396
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,64A1-DB8B-7CDA:41748,europe-west4,14032.401878238692
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,9666-B734-2423:41748,us-west2,10250.077707000002
GCP Elastic Cloud (managed Elasticsearch Service),Elasticsearch,C992-4EB3-EFC4:Elasticsearch,(not set),9549.2865
"GCP NetApp, Inc. Cloud Manager for Cloud Volumes ONTAP",netapp-cloudmanager,06B6-369A-3B70:Netappcloudmanager,(not set),9541.58994336539
GCP Fortinet Inc. FortiGate Next-Generation Firewall (PAYG),fortigcp-project-001,1799-9615-FEB5:Fortigcpproject001,southamerica-east1,7588.835295546418
"GCP NetApp, Inc. NetApp Cloud Volumes Service",41748,E56A-940F-3700:41748,us-west4,6222.110758000001
"GCP Palo Alto Networks, Inc. VM-Series Next-Generation Firewall (Bundle2)","Palo Alto Networks, Inc.",AE77-ABC5-AE32:PaloAltoNetworksInc,europe-west3,6214.061517268444
