CanonicalSeller,CostUSD
41748,310782.5522444046
Aiven,5091.731
AlmaLinux,0.0
Aviatrix,0.0
Bitnami,0.0
CIS (Center for Internet Security),2796.134046196906
Canonical,12194.014768473871
Check Point Software Technologies,0.0
Cisco Systems,0.0
Citrix,0.0
Cloud Infrastructure Services,372.20280412505304
Cognosys,2365.562489508103
Dataiku,0.0
Debian,-0.0001459999999998
Dell EMC,0.0
Elasticsearch,9549.2865
Ergon Informatik AG,0.0
Fedora CoreOS,0.0
Filemage LLC,139.50738543689283
Grafana Labs,0.0
H2O.ai,0.0
JFrog,1860.2478239999996
Litmus Automation Inc,2610.984521999999
Maidenhead Bridge Limited,1683.09269903012
"Palo Alto Networks, Inc.",28721.769982113026
Qualys,0.0
Reblaze,0.0
RedHat,3656.470639999999
Redis Labs,9403.851999999999
Techlatest.net,114.32718229941491
Trifacta,0.0
Velostrata,0.0
fastly-public-46a6,250314.085708
fortigcp-project-001,44623.02447363901
netapp-cloudmanager,81360.56315087367
